Row,Gene_indx,Cluster,DE_Score
PTTG1,4397,1,10.9322121817778
HMGB2,3800,1,10.0296783728949
UBE2C,12949,1,10.0015081142836
CKS2,7140,1,9.90080574223116
CCNB1,4008,1,9.44170369574024
KPNA2,12281,1,9.14646248738063
ARL6IP1,11073,1,9.06127211544636
CENPF,1368,1,9.03632228922639
TOP2A,11993,1,8.27564327442789
NUSAP1,10462,1,8.20260175132195
HIST1H4C,4617,2,8.24055372324835
STMN1,266,2,8.14095101363026
RRM2,1556,2,7.76430851285948
KIAA0101,10619,2,7.75723286673559
TUBA1B,9131,2,7.51340010572084
TK1,12382,2,7.09452665623113
TUBB,4701,2,6.8635370959947
PCNA,12757,2,6.38965818813481
H2AFZ,3631,2,6.1970292847263
DUT,10533,2,5.6281133725894
CRABP2,1087,3,4.0310599673301
KRT6A,9172,3,3.25351892688425
STRA13,12450,3,3.20834940368684
SLBP,3338,3,3.01183204446144
SBSN,13600,3,2.92346991262547
GINS2,11509,3,2.71387574860577
MCM3,4923,3,2.69056273251515
MCM5,14341,3,2.52379518376056
ATP5G1,12151,3,2.28877652811437
UNG,9461,3,2.26905312563303
CXCL14,4247,4,11.1609866338966
KRT14,12013,4,9.9056789725023
COL17A1,8758,4,8.24716481927956
KRT5,9173,4,7.75581499077898
S100A2,995,4,7.62586082675654
DST,4941,4,6.49800676465724
ASS1,7393,4,6.17561217764598
IGFBP3,5485,4,5.65729309464385
SYT8,7551,4,4.70201690548689
ZFP36,13707,4,4.34068166915161
KRT15,12010,5,13.1594886093932
DCN,9383,5,8.77105774766803
CCL2,11916,5,7.26683596526227
IL1R2,1981,5,6.59194002341204
IFITM3,7512,5,6.09013207151973
FTH1,7810,5,6.05284271293615
POSTN,9709,5,6.02717372694592
TXNIP,883,5,5.90375415426955
TIMP1,6077,5,5.16328113272169
SPARC,4370,5,4.89395156011424
KRT10,12000,6,7.13253663671098
PTMS,8925,6,6.13640052595776
KRT13,12008,6,5.25586015899998
FABP5,6675,6,4.85434242761003
HSP90B1,9430,6,4.16563155567086
DSP,4546,6,3.71190028232871
DBI,2039,6,3.69200446259934
KRTDAP,13598,6,3.57259082849848
DYNLL1,9541,6,3.53863215054377
S100A14,997,6,3.52598006576828
KRT1,9175,7,6.83215333159477
DMKN,13599,7,5.34706580451541
CCND1,8000,7,3.67682163672477
LGALS7B,13687,7,3.673274930532
CALML5,8315,7,3.34985496513668
APOE,13810,7,2.49032230853967
LYPD3,13769,7,2.1864442918023
EMP2,11029,7,2.06732327809941
PPDPF,13057,7,1.70791393489515
GSTA4,4930,7,1.52714130820755
